UserID,Gender,Age-group,AppVersion,FamilyID
ba343e84-d29a-3d8b-8c91-979f6de5224d,F,,2,NULL
3cf2cc17-28b0-3177-92ed-0ff4792a481a,F,Above 60,2,F004
d3fcc371-9013-312a-ab7e-fdb49e88d992,F,30-39,2,NULL
67040b8c-f02c-3380-bfe8-1d23ce6ea286,M,15-19,2,NULL
bf32b301-d8ca-31fb-8ec2-ff60efbe80f8,F,40-59,2,F028
8762bbb8-754d-3e2f-8ffa-cb9c13579657,F,30-39,2,F030
4cb7f046-1e19-3247-84a9-a0218f4d9e81,M,40-59,2,F028
687d9b4c-2b46-3401-ac2f-e900dba47834,M,30-39,2,NULL
0090ee06-cd19-38a3-b0b3-371227ddd1a1,F,Above 60,2,F023
77775c29-caf8-3539-8bd7-c8f6f70ff1e7,M,30-39,2,F023
c612d4b7-d105-3c12-9bd2-7fc9e204d213,M,15-19,2,F011
1d84cbc6-1541-3faa-9924-d3a975a97b18,M,Above 60,2,F030
6fa935bf-4bcc-3ee0-bc6f-efcbf3076c91,M,15-19,2,F011
0e0f58ee-cd97-3b5b-983b-2ed86a6bdcfc,F,40-59,2,NULL
5de63ae8-332b-34b8-8637-62d86eb408c2,F,30-39,2,NULL
9d8784e5-3646-31c6-ba8c-cf47b04bd53f,M,Above 60,2,F023
26be6b32-cd47-3daa-98bd-4a36a9fa5484,F,Above 60,2,NULL
9c732ea7-71db-3a4a-856e-91e8b8cc88e0,F,Below 15,2,F008
9b861ff6-07b6-314c-96a6-60ab03754b35,M,40-59,2,NULL
9263d8b1-2b4f-3bfe-b208-f11f3c40317c,M,Below 15,2,NULL
eda6ccc9-7a3c-3e97-9e7f-33a1a059338e,F,40-59,2,NULL
70a00829-48dc-3f29-bd6a-a82e7557ae1f,M,30-39,2,NULL
0fb06b28-406d-39b5-ae25-71042b549d2b,F,15-19,2,NULL
d7ab6aed-043b-3494-af25-86d6e964f880,F,Above 60,2,NULL
8a611cc4-6486-393d-bef3-4bd9181b2c34,,Above 60,2,NULL
0ab10f14-ebd6-3f81-bb3b-624b1192fb97,M,Above 50,1,F004
20b842e7-044d-3354-917c-a214dfc80656,F,Above 50,1,F035
9415f172-da1f-3815-8916-954adc175c52,M,Below 18,1,NULL
2de43eea-5673-39a0-9d5b-770e2f7570fb,F,40-59,2,NULL
faf7edae-ad8d-3f97-add8-d4279fdd1e93,F,Above 50,1,NULL
1eb2fe9f-0939-3558-8c93-2366cba96c75,F,30-40,1,NULL
6ef3ace3-73ed-3ff3-9f8d-27c292df2403,M,40-50,1,NULL
9869850d-acc1-304d-b1be-a841dc6d53cc,M,Above 50,1,NULL
9d8ef937-cb28-3eee-bca8-560ac3deb18a,F,Above 50,1,NULL
bd3b3c55-66cd-3156-839d-750769c84355,M,Above 50,1,NULL
7ad0bddc-f268-3f48-87ab-d187f253c36f,M,22-30,1,NULL
ignore-id-5,M,30-40,1,NULL
83ef5073-7e67-396a-958d-f523128ad4d1,M,Above 50,1,NULL
050cf783-c5fc-3279-8161-002e2bf09027,F,40-50,1,NULL
d7d32820-55c8-3ce9-9196-a34804e7b0ef,M,40-50,1,NULL
60123f27-53ac-33c3-81f4-d76ae0784ea0,F,18-22,1,NULL
49b9ab93-493f-3b42-ba13-66942315d2fc,M,Above 50,1,NULL
3b3e9154-b495-36c0-9e02-75449eaf9447,M,Above 50,1,NULL
a6b6833a-e28d-3499-b808-b0e9335e971e,F,22-30,1,NULL
72e40af8-044f-39f9-a510-e45d6648823f,M,30-40,1,NULL
e0eb7d57-4f79-3a46-9ca3-1ea307f4411e,M,30-40,1,NULL
3824979a-6447-3e69-afff-f256a9d7673b,M,30-40,1,NULL
91c285b8-f3fa-37a8-ac15-1c1fca504b08,F,22-30,1,NULL
25c866ab-8969-388b-9bff-fdbd0badf632,F,40-50,1,NULL
9dee64b2-ec63-3a94-bda2-f39d718bee1a,M,40-50,1,NULL
f222faa7-2559-3350-b04e-993471153164,F,18-22,1,NULL
46d3286b-4e6a-3dab-bb23-34ce4b350f22,F,30-40,1,NULL
8be4b09b-be43-3eca-a2be-6488e6a49752,F,30-40,1,NULL
ad656d46-c352-37f2-804f-b3a63240daf4,M,30-40,1,NULL
e21fcf96-8162-3cf7-8d49-4a184a56b60c,M,30-40,1,NULL
4eecb4a2-8902-3a06-8049-cda92d33c7d1,M,40-50,1,NULL
b4829f78-bd65-3327-91c6-3e2012d11002,F,Below 18,1,NULL
9637e66d-4afc-30fd-81a1-12604e06b34d,M,22-30,1,NULL
18c32f16-b62d-30df-89d5-e55d1c892d6e,M,22-30,1,NULL
3d41dcff-47ce-3ba3-9c7f-50d453411a60,M,40-50,1,NULL
a8e4d789-f230-3a7f-a822-58de076edc5a,M,22-30,1,NULL
4e0fc72b-b309-3159-b149-a75b4dac9088,M,22-30,1,NULL
6a518b34-72c1-3c57-9887-27aa3616a289,F,30-40,1,NULL
35a8c833-33b3-3d2f-a5dd-9d9fbb803340,M,Above 50,1,NULL
9303ab53-17d8-3412-8299-120dc64e8c13,M,18-22,1,NULL
31dbfe2b-ef2a-3828-a419-4417e9ac9d17,F,40-50,1,NULL
7eeae9ea-b034-3d56-89e2-bb72a53a2a6d,M,Above 50,1,NULL
6b4e8309-20ca-3891-a386-0bf132881cb9,F,Above 50,1,NULL
d68cf31a-0614-3695-88c1-ecf8ba772381,M,30-40,1,NULL
a94c0603-e17f-371c-a391-34127b6408cf,F,30-40,1,NULL
d0cea830-9561-3f46-9ed0-6d5cc7bda006,M,Above 50,1,NULL
12b3ff92-0ecd-3236-bfcf-7dcaf162d107,M,Above 50,1,NULL
fed63d35-e1eb-3f9d-be57-1dfe0a170f25,M,22-30,1,NULL
c3fbb6e6-b7b2-3cec-91c9-c63106eff764,F,30-40,1,NULL
f039a58e-47fa-3245-a6e6-8e16a6f2ff18,M,22-30,1,NULL
e7d4b95d-f83d-308b-aa41-e733ae155e0e,F,22-30,1,NULL
ef7d9f03-9218-3b3c-a53f-5f572dc35fa3,M,40-50,1,NULL
974ada00-b02e-3b61-ab26-8154c408a604,F,40-50,1,NULL
c8615d31-7001-3c40-88a1-761d7d6ece76,F,30-40,1,NULL
443510e2-af83-373a-8c51-74e996c3c4e7,M,40-50,1,NULL
948b873f-446e-3b16-aaf8-0f07daa9d352,M,Below 18,1,NULL
64532543-7156-3944-aae9-8cdeeabad033,F,18-22,1,NULL
